1 1 1 1 -1. 15. KMM006
1 1 1 1 -1. 15. KMMH16
1 1 1 2 -1. 15. KMM008
1 1 1 2 -1. 15. KMMH14
1 1 1 2 -1. 15. KMM005
1 1 1 2 -1. 15. KMM011
1 1 1 1 -1. 15. TMC
1 1 1 1 -1. 15. KMM009
1 1 1 2 -1. 15. KMMH03
1 1 1 1 -1. 15. KMM003
1 1 1 2 -1. 15. KMM010
1 1 1 2 -1. 15. KMM002
1 1 1 2 -1. 15. KMM012
1 1 1 2 -1. 15. KMMH09
1 1 1 1 -1. 15. KMMH06
1 1 1 1 -1. 15. KMM007
1 1 1 2 -1. 15. KMM004
1 1 1 2 -1. 15. NGS012
1 1 1 2 -1. 15. KMMH01
1 1 1 2 -1. 15. KMM014
1 1 1 2 -1. 15. FKO016
1 1 1 2 -1. 15. FKO014
1 1 1 2 -1. 15. MYZ020
0 0 0 2 -1. 15. KMM013
1 1 1 1 -1. 15. KMMH02
1 1 1 1 -1. 15. KMM001
1 1 1 1 -1. 15. MYZ001
1 1 1 2 -1. 15. NGS011
0 0 0 2 -1. 15. KMM018
1 1 1 2 -1. 15. KMMH11
1 1 1 2 -1. 15. FKO013
0 0 0 2 -1. 15. NGS014
0 0 0 2 -1. 15. NGS008
0 0 0 1 -1. 15. TKD
0 0 0 2 -1. 15. OIT008
0 0 0 2 -1. 15. OIT015
